#     Vn (<jump)        Vi (<jump)        Vn (>jump)        Vi (>jump)  
    4.381871E+06      9.851091E+05      1.314288E+06      9.851091E+05
    4.379447E+06      9.845629E+05      1.314620E+06      9.845629E+05
    4.377001E+06      9.840133E+05      1.314958E+06      9.840133E+05
    4.374531E+06      9.834601E+05      1.315303E+06      9.834601E+05
    4.372037E+06      9.829033E+05      1.315654E+06      9.829033E+05
    4.369519E+06      9.823428E+05      1.316011E+06      9.823428E+05
    4.366976E+06      9.817787E+05      1.316376E+06      9.817787E+05
    4.364407E+06      9.812107E+05      1.316747E+06      9.812107E+05
    4.361813E+06      9.806390E+05      1.317125E+06      9.806390E+05
    4.359193E+06      9.800633E+05      1.317511E+06      9.800633E+05
    4.356547E+06      9.794838E+05      1.317903E+06      9.794838E+05
    4.353873E+06      9.789003E+05      1.318303E+06      9.789003E+05
    4.351172E+06      9.783127E+05      1.318711E+06      9.783127E+05
    4.348443E+06      9.777210E+05      1.319126E+06      9.777210E+05
    4.345686E+06      9.771252E+05      1.319550E+06      9.771252E+05
    4.342899E+06      9.765251E+05      1.319981E+06      9.765251E+05
    4.340083E+06      9.759208E+05      1.320421E+06      9.759208E+05
    4.337238E+06      9.753121E+05      1.320868E+06      9.753121E+05
    4.334362E+06      9.746990E+05      1.321325E+06      9.746990E+05
    4.331454E+06      9.740815E+05      1.321790E+06      9.740815E+05
    4.328516E+06      9.734594E+05      1.322264E+06      9.734594E+05
    4.325545E+06      9.728327E+05      1.322747E+06      9.728327E+05
    4.322542E+06      9.722013E+05      1.323239E+06      9.722013E+05
    4.319505E+06      9.715652E+05      1.323741E+06      9.715652E+05
    4.316434E+06      9.709243E+05      1.324253E+06      9.709243E+05
    4.313329E+06      9.702786E+05      1.324774E+06      9.702786E+05
    4.310189E+06      9.696278E+05      1.325305E+06      9.696278E+05
    4.307013E+06      9.689721E+05      1.325846E+06      9.689721E+05
    4.303801E+06      9.683112E+05      1.326398E+06      9.683112E+05
    4.300552E+06      9.676452E+05      1.326961E+06      9.676452E+05
    4.297265E+06      9.669740E+05      1.327534E+06      9.669740E+05
    4.293940E+06      9.662974E+05      1.328119E+06      9.662974E+05
    4.290575E+06      9.656154E+05      1.328715E+06      9.656154E+05
    4.287171E+06      9.649279E+05      1.329323E+06      9.649279E+05
    4.283726E+06      9.642349E+05      1.329942E+06      9.642349E+05
    4.280240E+06      9.635362E+05      1.330574E+06      9.635362E+05
    4.276712E+06      9.628319E+05      1.331217E+06      9.628319E+05
    4.273141E+06      9.621217E+05      1.331874E+06      9.621217E+05
    4.269526E+06      9.614055E+05      1.332543E+06      9.614055E+05
    4.265867E+06      9.606835E+05      1.333226E+06      9.606835E+05
    4.262162E+06      9.599553E+05      1.333922E+06      9.599553E+05
    4.258412E+06      9.592210E+05      1.334632E+06      9.592210E+05
    4.254614E+06      9.584804E+05      1.335355E+06      9.584804E+05
    4.250768E+06      9.577335E+05      1.336093E+06      9.577335E+05
    4.246873E+06      9.569802E+05      1.336846E+06      9.569802E+05
    4.242929E+06      9.562203E+05      1.337614E+06      9.562203E+05
    4.238934E+06      9.554538E+05      1.338397E+06      9.554538E+05
    4.234887E+06      9.546806E+05      1.339196E+06      9.546806E+05
    4.230788E+06      9.539005E+05      1.340011E+06      9.539005E+05
    4.226635E+06      9.531136E+05      1.340842E+06      9.531136E+05
    4.222427E+06      9.523196E+05      1.341690E+06      9.523196E+05
    4.218163E+06      9.515185E+05      1.342555E+06      9.515185E+05
    4.213842E+06      9.507101E+05      1.343437E+06      9.507101E+05
    4.209463E+06      9.498945E+05      1.344337E+06      9.498945E+05
    4.206708E+06      9.493831E+05      1.344907E+06      9.493831E+05
    4.203930E+06      9.488687E+05      1.345484E+06      9.488687E+05
    4.201128E+06      9.483515E+05      1.346068E+06      9.483515E+05
    4.198302E+06      9.478313E+05      1.346659E+06      9.478313E+05
    4.195453E+06      9.473081E+05      1.347258E+06      9.473081E+05
    4.192579E+06      9.467819E+05      1.347865E+06      9.467819E+05
    4.189680E+06      9.462526E+05      1.348479E+06      9.462526E+05
    4.186757E+06      9.457203E+05      1.349101E+06      9.457203E+05
    4.183808E+06      9.451849E+05      1.349731E+06      9.451849E+05
    4.179242E+06      9.443589E+05      1.350711E+06      9.443589E+05
    4.174616E+06      9.435254E+05      1.351711E+06      9.435254E+05
    4.169927E+06      9.426844E+05      1.352731E+06      9.426844E+05
    4.165174E+06      9.418358E+05      1.353770E+06      9.418358E+05
    4.160357E+06      9.409795E+05      1.354831E+06      9.409795E+05
    4.155474E+06      9.401154E+05      1.355912E+06      9.401154E+05
    4.150523E+06      9.392433E+05      1.357015E+06      9.392433E+05
    4.145505E+06      9.383631E+05      1.358140E+06      9.383631E+05
    4.140416E+06      9.374748E+05      1.359288E+06      9.374748E+05
    4.137141E+06      9.369054E+05      1.360030E+06      9.369054E+05
    4.134857E+06      9.365091E+05      1.360549E+06      9.365091E+05
    4.132558E+06      9.361112E+05      1.361073E+06      9.361112E+05
    4.130246E+06      9.357117E+05      1.361602E+06      9.357117E+05
    4.127919E+06      9.353105E+05      1.362135E+06      9.353105E+05
    4.125577E+06      9.349077E+05      1.362673E+06      9.349077E+05
    4.123221E+06      9.345032E+05      1.363216E+06      9.345032E+05
    4.120850E+06      9.340970E+05      1.363764E+06      9.340970E+05
    4.118465E+06      9.336892E+05      1.364316E+06      9.336892E+05
    4.116064E+06      9.332797E+05      1.364874E+06      9.332797E+05
    4.113649E+06      9.328684E+05      1.365436E+06      9.328684E+05
    4.111218E+06      9.324555E+05      1.366004E+06      9.324555E+05
    4.108771E+06      9.320408E+05      1.366576E+06      9.320408E+05
    4.106310E+06      9.316244E+05      1.367154E+06      9.316244E+05
    4.103832E+06      9.312063E+05      1.367737E+06      9.312063E+05
    4.101339E+06      9.307864E+05      1.368325E+06      9.307864E+05
    4.098830E+06      9.303647E+05      1.368918E+06      9.303647E+05
    4.096305E+06      9.299413E+05      1.369517E+06      9.299413E+05
    4.093763E+06      9.295161E+05      1.370122E+06      9.295161E+05
    4.091206E+06      9.290891E+05      1.370731E+06      9.290891E+05
    4.088632E+06      9.286603E+05      1.371346E+06      9.286603E+05
    4.086041E+06      9.282297E+05      1.371967E+06      9.282297E+05
    4.083434E+06      9.277972E+05      1.372594E+06      9.277972E+05
    4.080809E+06      9.273629E+05      1.373226E+06      9.273629E+05
    4.078168E+06      9.269268E+05      1.373864E+06      9.269268E+05
    4.075509E+06      9.264889E+05      1.374508E+06      9.264889E+05
    4.072833E+06      9.260491E+05      1.375157E+06      9.260491E+05
    4.070140E+06      9.256074E+05      1.375813E+06      9.256074E+05
    4.067429E+06      9.251638E+05      1.376474E+06      9.251638E+05
    4.064700E+06      9.247183E+05      1.377142E+06      9.247183E+05
    4.061953E+06      9.242710E+05      1.377816E+06      9.242710E+05
    4.060086E+06      9.239674E+05      1.378275E+06      9.239674E+05
    4.058210E+06      9.236630E+05      1.378737E+06      9.236630E+05
    4.056326E+06      9.233577E+05      1.379202E+06      9.233577E+05
