          distance              timeN                 Tn               Mass          Mass_cons         Moment_kin         Moment_the         Moment_mag         Moment_vis             Moment           Mom_cons         Energy_kin         Energy_the         Energy_int         Energy_mag         Energy_vis             Energy         Energ_gain         Energ_cons          Energ_pho          magn_corr 
  1.622529362E-035   1.028319868E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   5.537085871E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   2.768542936E-057   1.492119064E+000   1.166967044E-056   7.820870813E-057   1.094195658E-003   0.000000000E+000 
  1.653246881E-035   1.047787889E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   5.242504290E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   2.621252145E-057   1.492119064E+000   1.189059975E-056   7.968934947E-057   1.094195658E-003   0.000000000E+000 
  1.683964401E-035   1.067255910E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   4.947924998E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   2.473962499E-057   1.492119064E+000   1.211152907E-056   8.116999081E-057   1.094195658E-003   0.000000000E+000 
  1.714681921E-035   1.086723931E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   4.653343309E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   2.326671654E-057   1.492119064E+000   1.233245839E-056   8.265063215E-057   1.094195658E-003   0.000000000E+000 
  1.745399440E-035   1.106191952E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   4.358756456E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   2.179378228E-057   1.492119064E+000   1.255338771E-056   8.413127349E-057   1.094195658E-003   0.000000000E+000 
  1.776116960E-035   1.125659973E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   4.064166437E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   2.032083219E-057   1.492119064E+000   1.277431702E-056   8.561191483E-057   1.094195658E-003   0.000000000E+000 
  1.806834480E-035   1.145127994E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   3.769573704E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   1.884786852E-057   1.492119064E+000   1.299524634E-056   8.709255617E-057   1.094195658E-003   0.000000000E+000 
  1.827615720E-035   1.158298641E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   3.570281641E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   1.785140820E-057   1.492119064E+000   1.314471105E-056   8.809425041E-057   1.094195658E-003   0.000000000E+000 
  1.848396959E-035   1.171469288E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   3.370990994E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   1.685495497E-057   1.492119064E+000   1.329417575E-056   8.909594466E-057   1.094195658E-003   0.000000000E+000 
  1.869178199E-035   1.184639936E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   3.171698692E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   1.585849346E-057   1.492119064E+000   1.344364046E-056   9.009763890E-057   1.094195658E-003   0.000000000E+000 
  1.889959439E-035   1.197810583E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   2.972402945E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   1.486201473E-057   1.492119064E+000   1.359310517E-056   9.109933314E-057   1.094195658E-003   0.000000000E+000 
  1.910740679E-035   1.210981230E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   2.773105212E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   1.386552606E-057   1.492119064E+000   1.374256988E-056   9.210102738E-057   1.094195658E-003   0.000000000E+000 
  1.931521918E-035   1.224151877E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   2.573805855E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   1.286902927E-057   1.492119064E+000   1.389203458E-056   9.310272163E-057   1.094195658E-003   0.000000000E+000 
  1.945794078E-035   1.233197226E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   2.436935892E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   1.218467946E-057   1.492119064E+000   1.399468410E-056   9.379066614E-057   1.094195658E-003   0.000000000E+000 
  1.960066237E-035   1.242242576E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   2.300066791E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   1.150033396E-057   1.492119064E+000   1.409733361E-056   9.447861065E-057   1.094195658E-003   0.000000000E+000 
  1.974338396E-035   1.251287925E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   2.163196565E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   1.081598282E-057   1.492119064E+000   1.419998312E-056   9.516655516E-057   1.094195658E-003   0.000000000E+000 
  1.988610555E-035   1.260333274E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   2.026323922E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   1.013161961E-057   1.492119064E+000   1.430263263E-056   9.585449967E-057   1.094195658E-003   0.000000000E+000 
  2.002882715E-035   1.269378624E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.889449908E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   9.447249541E-058   1.492119064E+000   1.440528214E-056   9.654244418E-057   1.094195658E-003   0.000000000E+000 
  2.017154874E-035   1.278423973E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.752574797E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   8.762873983E-058   1.492119064E+000   1.450793166E-056   9.723038869E-057   1.094195658E-003   0.000000000E+000 
  2.026808523E-035   1.284542223E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.659996450E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   8.299982251E-058   1.492119064E+000   1.457736350E-056   9.769571246E-057   1.094195658E-003   0.000000000E+000 
  2.036462172E-035   1.290660472E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.567418419E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   7.837092094E-058   1.492119064E+000   1.464679535E-056   9.816103622E-057   1.094195658E-003   0.000000000E+000 
  2.046115821E-035   1.296778721E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.474839285E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   7.374196425E-058   1.492119064E+000   1.471622720E-056   9.862635999E-057   1.094195658E-003   0.000000000E+000 
  2.055769471E-035   1.302896971E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.382258727E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   6.911293636E-058   1.492119064E+000   1.478565904E-056   9.909168376E-057   1.094195658E-003   0.000000000E+000 
  2.065423120E-035   1.309015220E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.289676955E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   6.448384777E-058   1.492119064E+000   1.485509089E-056   9.955700753E-057   1.094195658E-003   0.000000000E+000 
  2.075076769E-035   1.315133469E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.197093826E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   5.985469128E-058   1.492119064E+000   1.492452274E-056   1.000223313E-056   1.094195658E-003   0.000000000E+000 
  2.081720432E-035   1.319344062E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.133380528E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   5.666902638E-058   1.492119064E+000   1.497230589E-056   1.003425682E-056   1.094195658E-003   0.000000000E+000 
  2.088364095E-035   1.323554655E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.069667979E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   5.348339895E-058   1.492119064E+000   1.502008904E-056   1.006628050E-056   1.094195658E-003   0.000000000E+000 
  2.095007757E-035   1.327765248E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.005954951E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   5.029774755E-058   1.492119064E+000   1.506787219E-056   1.009830419E-056   1.094195658E-003   0.000000000E+000 
  2.101651420E-035   1.331975841E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   9.422408619E-065   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   4.711204309E-058   1.492119064E+000   1.511565534E-056   1.013032787E-056   1.094195658E-003   0.000000000E+000 
  2.108295083E-035   1.336186433E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   8.785259367E-065   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   4.392629683E-058   1.492119064E+000   1.516343849E-056   1.016235156E-056   1.094195658E-003   0.000000000E+000 
  2.114938746E-035   1.340397026E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   8.148101762E-065   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   4.074050881E-058   1.492119064E+000   1.521122164E-056   1.019437524E-056   1.094195658E-003   0.000000000E+000 
  2.119442198E-035   1.343251205E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   7.716218422E-065   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   3.858109211E-058   1.492119064E+000   1.524361178E-056   1.021608272E-056   1.094195658E-003   0.000000000E+000 
  2.123945651E-035   1.346105385E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   7.284339533E-065   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   3.642169766E-058   1.492119064E+000   1.527600192E-056   1.023779019E-056   1.094195658E-003   0.000000000E+000 
  2.128449103E-035   1.348959564E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   6.852457236E-065   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   3.426228618E-058   1.492119064E+000   1.530839205E-056   1.025949767E-056   1.094195658E-003   0.000000000E+000 
  2.132952555E-035   1.351813743E-049   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   6.420567594E-065   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   3.210283797E-058   1.492119064E+000   1.534078219E-056   1.028120514E-056   1.094195658E-003   0.000000000E+000 
